20180921181055,-154.3123,-389.5059,1582.9804,  -0.2190,   0.0352,   0.0759
20180921181056,-175.2157,-393.2172,1578.5165,  -1.1336,   0.0379,   0.3807
20180921181057,-170.4616,-395.8199,1583.5821,  -1.5150,   0.6744,   0.4373
20180921181058,-157.2027,-393.6077,1582.4660,  -1.8378,   0.3953,   0.2563
20180921181059,-167.0227,-391.1856,1576.8678,  -2.1140,   0.9152,   0.8462
20180921181100,-160.1803,-389.9856,1581.6013,  -2.0926,   0.4276,   0.7967
20180921181101,-161.3139,-388.2774,1573.7995,  -1.7526,   0.7140,   0.6447
20180921181102,-163.9219,-385.6742,1568.0372,  -1.3951,   0.5377,   0.4098
20180921181103,-163.1950,-389.3698,1571.9196,  -1.7601,   0.4034,   0.6086
20180921181104,-159.4989,-392.7940,1577.4484,  -1.7694,   0.8005,   0.6485
20180921181105,-167.0028,-387.8921,1565.1254,  -1.9719,   0.7798,   0.6981
20180921181106,-154.8269,-388.2522,1571.0506,  -2.1498,   0.7090,   0.9396
20180921181107,-169.7237,-386.3963,1560.0497,  -1.9016,   0.6536,   0.7058
20180921181108,-162.4788,-386.6418,1561.1625,  -1.8292,   0.7819,   0.7617
20180921181109,-142.6281,-390.2661,1578.0651,  -1.6277,   0.8550,   0.5961
20180921181110,-161.2996,-385.1514,1555.7591,  -1.5858,   0.6006,   0.6626
20180921181111,-149.8480,-387.4826,1562.2273,  -1.8351,   0.2611,   0.5301
20180921181112,-160.8740,-384.3405,1557.7183,  -1.9995,   0.9133,   0.8005
20180921181113,-156.9008,-375.9464,1544.3621,  -1.7551,   0.9649,   0.6799
20180921181114,-151.3418,-384.2666,1557.6693,  -1.8038,   1.1628,   0.6777
20180921181115,-159.7231,-376.7448,1537.3537,  -2.2584,   0.3566,   0.7801
20180921181116,-148.2896,-382.4964,1552.8126,  -2.0664,   0.3625,   0.6681
20180921181117,-145.2774,-381.5545,1554.7029,  -1.8044,   0.6342,   0.6261
20180921181118,-157.5732,-381.2646,1542.0229,  -1.6127,   0.7756,   0.5365
20180921181119,-150.6170,-377.4415,1539.4974,  -1.4896,   0.4900,   0.5255
